dyad,id_1,id_2,node_1,node_2,dyad_id,sex_1,sex_2,age_1,age_2,family_1,family_2,clique_1,clique_2,pair_type,edge,event_count,age_cat_1,age_cat_2,age_dyad,age_diff,dem_class_1,dem_class_2,dem_dyad,dem_dyad_f,dem_diff,sex_dyad,sex_diff,apart
M1_M28,M1,M28,51,70,4745,M,M,3,5,NA,NA,NA,NA,no_group,0.2660233091580796,7,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,13
M1_M29,M1,M29,51,71,4746,M,M,3,5,NA,NA,NA,NA,no_group,0.2359340007150464,3,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,17
M1_M30,M1,M30,51,73,4748,M,M,3,5,NA,NA,NA,NA,no_group,0.12464798765921216,5,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,15
M1_M31,M1,M31,51,74,4749,M,M,3,6,NA,NA,NA,NA,no_group,0.2035515702113011,3,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,17
M1_M32,M1,M32,51,75,4750,M,M,3,6,NA,NA,NA,NA,no_group,0.15291363424980056,3,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,17
M1_M33,M1,M33,51,76,4751,M,M,3,6,NA,NA,NA,NA,no_group,0.13810681815478795,2,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,18
M1_M34,M1,M34,51,77,4752,M,M,3,6,NA,NA,NA,NA,no_group,0.3165585626057613,7,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,13
M1_M35,M1,M35,51,78,4753,M,M,3,6,NA,NA,NA,NA,no_group,0.27083331750456763,3,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,17
M1_M36,M1,M36,51,79,4754,M,M,3,6,NA,NA,NA,NA,no_group,0.26069175042286885,4,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,16
M1_M37,M1,M37,51,80,4755,M,M,3,6,NA,NA,NA,NA,no_group,0.15139161006034293,4,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,16
M1_M38,M1,M38,51,81,4756,M,M,3,6,NA,NA,NA,NA,no_group,0.23289301754577624,2,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,18
M1_M39,M1,M39,51,82,4757,M,M,3,6,NA,NA,NA,NA,no_group,0.2779850328729273,5,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,15
M1_M40,M1,M40,51,84,4759,M,M,3,6,NA,NA,NA,NA,no_group,0.2458603801922636,8,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,12
M1_M41,M1,M41,51,85,4760,M,M,3,7,NA,NA,NA,NA,no_group,0.2800196165867172,1,P,A,A_P,4,PM,AM,AM_PM,11,1,M_M,0,19
M1_M42,M1,M42,51,86,4761,M,M,3,7,NA,NA,NA,NA,no_group,0.18098520413208952,3,P,A,A_P,4,PM,AM,AM_PM,11,1,M_M,0,17
M1_M43,M1,M43,51,87,4762,M,M,3,7,NA,NA,NA,NA,no_group,0.2734068976746057,4,P,A,A_P,4,PM,AM,AM_PM,11,1,M_M,0,16
M1_M44,M1,M44,51,88,4763,M,M,3,7,NA,NA,NA,NA,no_group,0.3740253636691596,5,P,A,A_P,4,PM,AM,AM_PM,11,1,M_M,0,15
M1_M45,M1,M45,51,89,4764,M,M,3,7,NA,NA,NA,NA,no_group,0.24798014216658307,3,P,A,A_P,4,PM,AM,AM_PM,11,1,M_M,0,17
M1_M46,M1,M46,51,90,4765,M,M,3,7,NA,NA,NA,NA,no_group,0.18076807450424262,4,P,A,A_P,4,PM,AM,AM_PM,11,1,M_M,0,16
M1_M47,M1,M47,51,91,4766,M,M,3,7,NA,NA,NA,NA,no_group,0.237422859287676,5,P,A,A_P,4,PM,AM,AM_PM,11,1,M_M,0,15
M1_M48,M1,M48,51,92,4767,M,M,3,7,NA,NA,NA,NA,no_group,0.26057372318065697,5,P,A,A_P,4,PM,AM,AM_PM,11,1,M_M,0,15
M1_M49,M1,M49,51,93,4768,M,M,3,7,NA,NA,NA,NA,no_group,0.1428457888282005,2,P,A,A_P,4,PM,AM,AM_PM,11,1,M_M,0,18
M1_M50,M1,M50,51,95,4770,M,M,3,7,NA,NA,NA,NA,no_group,0.14893616909446342,5,P,A,A_P,4,PM,AM,AM_PM,11,1,M_M,0,15
F1_M1,F1,M1,1,50,50,F,M,3,3,NA,NA,6,NA,no_group,0.17572586179727315,7,P,P,P_P,0,PF,PM,PF_PM,18,1,F_M,1,13
F2_M1,F2,M1,12,50,1293,F,M,3,3,NA,NA,3,NA,no_group,0.14191495789099268,1,P,P,P_P,0,PF,PM,PF_PM,18,1,F_M,1,19
F3_M1,F3,M1,23,50,2415,F,M,3,3,NA,NA,8,NA,no_group,0.24920578304282617,6,P,P,P_P,0,PF,PM,PF_PM,18,1,F_M,1,14
F4_M1,F4,M1,34,50,3416,F,M,3,3,NA,NA,2,NA,no_group,0.16902564087884106,2,P,P,P_P,0,PF,PM,PF_PM,18,1,F_M,1,18
F5_M1,F5,M1,45,50,4296,F,M,3,3,NA,NA,4,NA,no_group,0.41686095825544617,9,P,P,P_P,0,PF,PM,PF_PM,18,1,F_M,1,11
F6_M1,F6,M1,47,50,4443,F,M,3,3,NA,NA,8,NA,no_group,0.16350209334284246,6,P,P,P_P,0,PF,PM,PF_PM,18,1,F_M,1,14
F7_M1,F7,M1,48,50,4515,F,M,3,3,NA,NA,2,NA,no_group,0.158046123235286,3,P,P,P_P,0,PF,PM,PF_PM,18,1,F_M,1,17
F8_M1,F8,M1,49,50,4586,F,M,3,3,NA,NA,5,NA,no_group,0.21489144611664976,4,P,P,P_P,0,PF,PM,PF_PM,18,1,F_M,1,16
F9_M1,F9,M1,50,50,4656,F,M,3,3,NA,NA,3,NA,no_group,0.13223113675549303,5,P,P,P_P,0,PF,PM,PF_PM,18,1,F_M,1,15
F10_M1,F10,M1,2,50,168,F,M,3,3,NA,NA,8,NA,no_group,0.22892731871571026,4,P,P,P_P,0,PF,PM,PF_PM,18,1,F_M,1,16
F11_M1,F11,M1,3,50,285,F,M,4,3,NA,NA,8,NA,no_group,0.1230784682587102,0,P,P,P_P,1,PF,PM,PF_PM,18,1,F_M,1,20
F12_M1,F12,M1,4,50,401,F,M,4,3,NA,NA,2,NA,no_group,0.20927735695796304,4,P,P,P_P,1,PF,PM,PF_PM,18,1,F_M,1,16
F13_M1,F13,M1,5,50,516,F,M,4,3,U14,NA,6,NA,no_group,0.1672103859224746,2,P,P,P_P,1,PF,PM,PF_PM,18,1,F_M,1,18
F14_M1,F14,M1,6,50,630,F,M,4,3,NA,NA,3,NA,no_group,0.18054694297271698,5,P,P,P_P,1,PF,PM,PF_PM,18,1,F_M,1,15
F15_M1,F15,M1,7,50,743,F,M,4,3,U5,NA,6,NA,no_group,0.3341463469279669,8,P,P,P_P,1,PF,PM,PF_PM,18,1,F_M,1,12
F16_M1,F16,M1,8,50,855,F,M,4,3,NA,NA,7,NA,no_group,0.17238482799350874,1,P,P,P_P,1,PF,PM,PF_PM,18,1,F_M,1,19
F17_M1,F17,M1,9,50,966,F,M,4,3,NA,NA,6,NA,no_group,0.22165501234826765,5,P,P,P_P,1,PF,PM,PF_PM,18,1,F_M,1,15
F18_M1,F18,M1,10,50,1076,F,M,4,3,NA,NA,2,NA,no_group,0.12819801764639374,1,P,P,P_P,1,PF,PM,PF_PM,18,1,F_M,1,19
F19_M1,F19,M1,11,50,1185,F,M,4,3,U4,NA,1,NA,no_group,0.12311600701002189,2,P,P,P_P,1,PF,PM,PF_PM,18,1,F_M,1,18
F20_M1,F20,M1,13,50,1400,F,M,4,3,U13,NA,8,NA,no_group,0.3014450244030789,6,P,P,P_P,1,PF,PM,PF_PM,18,1,F_M,1,14
F21_M1,F21,M1,14,50,1506,F,M,5,3,U2,NA,8,NA,no_group,0.3075178694888486,3,A,P,A_P,2,AF,PM,AF_PM,6,1,F_M,1,17
F22_M1,F22,M1,15,50,1611,F,M,5,3,NA,NA,7,NA,no_group,0.19483339172972264,6,A,P,A_P,2,AF,PM,AF_PM,6,1,F_M,1,14
F23_M1,F23,M1,16,50,1715,F,M,5,3,U16,NA,6,NA,no_group,0.1690229249107137,3,A,P,A_P,2,AF,PM,AF_PM,6,1,F_M,1,17
F24_M1,F24,M1,17,50,1818,F,M,5,3,NA,NA,6,NA,no_group,0.19665214020127017,3,A,P,A_P,2,AF,PM,AF_PM,6,1,F_M,1,17
F25_M1,F25,M1,18,50,1920,F,M,5,3,U6,NA,1,NA,no_group,0.2445574820899268,7,A,P,A_P,2,AF,PM,AF_PM,6,1,F_M,1,13
F26_M1,F26,M1,19,50,2021,F,M,5,3,NA,NA,4,NA,no_group,0.19557830823263578,5,A,P,A_P,2,AF,PM,AF_PM,6,1,F_M,1,15
F27_M1,F27,M1,20,50,2121,F,M,5,3,U8,NA,4,NA,no_group,0.22172763295329456,5,A,P,A_P,2,AF,PM,AF_PM,6,1,F_M,1,15
F28_M1,F28,M1,21,50,2220,F,M,5,3,NA,NA,8,NA,no_group,0.1739735961199341,3,A,P,A_P,2,AF,PM,AF_PM,6,1,F_M,1,17
F29_M1,F29,M1,22,50,2318,F,M,5,3,U7,NA,2,NA,no_group,0.09579481948259708,3,A,P,A_P,2,AF,PM,AF_PM,6,1,F_M,1,17
F30_M1,F30,M1,24,50,2511,F,M,5,3,NA,NA,4,NA,no_group,0.08203867885343585,1,A,P,A_P,2,AF,PM,AF_PM,6,1,F_M,1,19
F31_M1,F31,M1,25,50,2606,F,M,6,3,NA,NA,3,NA,no_group,0.1300567303509027,3,A,P,A_P,3,AF,PM,AF_PM,6,1,F_M,1,17
F32_M1,F32,M1,26,50,2700,F,M,6,3,NA,NA,1,NA,no_group,0.2365399026442504,4,A,P,A_P,3,AF,PM,AF_PM,6,1,F_M,1,16
F33_M1,F33,M1,27,50,2793,F,M,6,3,NA,NA,6,NA,no_group,0.13067713284750568,3,A,P,A_P,3,AF,PM,AF_PM,6,1,F_M,1,17
F34_M1,F34,M1,28,50,2885,F,M,6,3,NA,NA,5,NA,no_group,0.13818632422948868,4,A,P,A_P,3,AF,PM,AF_PM,6,1,F_M,1,16
F35_M1,F35,M1,29,50,2976,F,M,6,3,NA,NA,8,NA,no_group,0.24773086771410993,8,A,P,A_P,3,AF,PM,AF_PM,6,1,F_M,1,12
F36_M1,F36,M1,30,50,3066,F,M,6,3,U12,NA,4,NA,no_group,0.20848104530537936,4,A,P,A_P,3,AF,PM,AF_PM,6,1,F_M,1,16
F37_M1,F37,M1,31,50,3155,F,M,6,3,U17,NA,2,NA,no_group,0.17389414966893066,3,A,P,A_P,3,AF,PM,AF_PM,6,1,F_M,1,17
F38_M1,F38,M1,32,50,3243,F,M,6,3,U19,NA,7,NA,no_group,0.1331050212007186,1,A,P,A_P,3,AF,PM,AF_PM,6,1,F_M,1,19
F39_M1,F39,M1,33,50,3330,F,M,6,3,NA,NA,8,NA,no_group,0.12475371765628789,3,A,P,A_P,3,AF,PM,AF_PM,6,1,F_M,1,17
F40_M1,F40,M1,35,50,3501,F,M,6,3,NA,NA,8,NA,no_group,0.16379753733606212,4,A,P,A_P,3,AF,PM,AF_PM,6,1,F_M,1,16
F41_M1,F41,M1,36,50,3585,F,M,7,3,U9,NA,6,NA,no_group,0.11367038543170392,2,A,P,A_P,4,AF,PM,AF_PM,6,1,F_M,1,18
F42_M1,F42,M1,37,50,3668,F,M,7,3,U18,NA,8,NA,no_group,0.2010261329752842,2,A,P,A_P,4,AF,PM,AF_PM,6,1,F_M,1,18
F43_M1,F43,M1,38,50,3750,F,M,7,3,U10,NA,2,NA,no_group,0.23769999418839566,6,A,P,A_P,4,AF,PM,AF_PM,6,1,F_M,1,14
F44_M1,F44,M1,39,50,3831,F,M,7,3,U15,NA,4,NA,no_group,0.1112149346830372,2,A,P,A_P,4,AF,PM,AF_PM,6,1,F_M,1,18
F45_M1,F45,M1,40,50,3911,F,M,7,3,NA,NA,3,NA,no_group,0.2626910720018281,1,A,P,A_P,4,AF,PM,AF_PM,6,1,F_M,1,19
F46_M1,F46,M1,41,50,3990,F,M,7,3,U11,NA,4,NA,no_group,0.2667117758464895,7,A,P,A_P,4,AF,PM,AF_PM,6,1,F_M,1,13
F47_M1,F47,M1,42,50,4068,F,M,7,3,NA,NA,1,NA,no_group,0.20911709099475845,2,A,P,A_P,4,AF,PM,AF_PM,6,1,F_M,1,18
F48_M1,F48,M1,43,50,4145,F,M,7,3,U3,NA,8,NA,no_group,0.10743442883172948,1,A,P,A_P,4,AF,PM,AF_PM,6,1,F_M,1,19
F49_M1,F49,M1,44,50,4221,F,M,7,3,U20,NA,1,NA,no_group,0.23832680858719948,10,A,P,A_P,4,AF,PM,AF_PM,6,1,F_M,1,10
F50_M1,F50,M1,46,50,4370,F,M,7,3,U1,NA,4,NA,no_group,0.21293534689957472,3,A,P,A_P,4,AF,PM,AF_PM,6,1,F_M,1,17
M1_U1,M1,U1,51,100,4775,M,U,3,1,NA,F50,NA,4,no_group,0.1516766852097456,5,P,C,P_C,2,PM,CU,PM_CU,19,1,M_U,1,15
M1_U2,M1,U2,51,111,4786,M,U,3,1,NA,F21,NA,8,no_group,0.19307225068155082,4,P,C,P_C,2,PM,CU,PM_CU,19,1,M_U,1,16
M1_U3,M1,U3,51,113,4788,M,U,3,1,NA,F48,NA,8,no_group,0.18423828777551404,4,P,C,P_C,2,PM,CU,PM_CU,19,1,M_U,1,16
M1_U4,M1,U4,51,114,4789,M,U,3,1,NA,F19,NA,1,no_group,0.35178174487217934,3,P,C,P_C,2,PM,CU,PM_CU,19,1,M_U,1,17
M1_U5,M1,U5,51,115,4790,M,U,3,1,NA,F15,NA,6,no_group,0.17857404928996518,5,P,C,P_C,2,PM,CU,PM_CU,19,1,M_U,1,15
M1_U6,M1,U6,51,116,4791,M,U,3,1,NA,F25,NA,1,no_group,0.2044144272994012,4,P,C,P_C,2,PM,CU,PM_CU,19,1,M_U,1,16
M1_U7,M1,U7,51,117,4792,M,U,3,1,NA,F29,NA,2,no_group,0.16057057622664023,4,P,C,P_C,2,PM,CU,PM_CU,19,1,M_U,1,16
M1_U8,M1,U8,51,118,4793,M,U,3,1,NA,F27,NA,4,no_group,0.1700481962227536,6,P,C,P_C,2,PM,CU,PM_CU,19,1,M_U,1,14
M1_U9,M1,U9,51,119,4794,M,U,3,1,NA,F41,NA,6,no_group,0.22038920748881094,7,P,C,P_C,2,PM,CU,PM_CU,19,1,M_U,1,13
M1_U10,M1,U10,51,101,4776,M,U,3,1,NA,F43,NA,2,no_group,0.18478784291368883,2,P,C,P_C,2,PM,CU,PM_CU,19,1,M_U,1,18
M1_U11,M1,U11,51,102,4777,M,U,3,2,NA,F46,NA,4,no_group,0.17039570534890716,5,P,J,P_J,1,PM,JU,PM_JU,20,1,M_U,1,15
M1_U12,M1,U12,51,103,4778,M,U,3,2,NA,F36,NA,4,no_group,0.14129433904346822,2,P,J,P_J,1,PM,JU,PM_JU,20,1,M_U,1,18
M1_U13,M1,U13,51,104,4779,M,U,3,2,NA,F20,NA,8,no_group,0.18242565646772463,3,P,J,P_J,1,PM,JU,PM_JU,20,1,M_U,1,17
M1_U14,M1,U14,51,105,4780,M,U,3,2,NA,F13,NA,6,no_group,0.24488449165063958,8,P,J,P_J,1,PM,JU,PM_JU,20,1,M_U,1,12
M1_U15,M1,U15,51,106,4781,M,U,3,2,NA,F44,NA,4,no_group,0.12767388627378046,6,P,J,P_J,1,PM,JU,PM_JU,20,1,M_U,1,14
M1_U16,M1,U16,51,107,4782,M,U,3,2,NA,F23,NA,6,no_group,0.19847481018843663,3,P,J,P_J,1,PM,JU,PM_JU,20,1,M_U,1,17
M1_U17,M1,U17,51,108,4783,M,U,3,2,NA,F37,NA,2,no_group,0.21325101048057926,5,P,J,P_J,1,PM,JU,PM_JU,20,1,M_U,1,15
M1_U18,M1,U18,51,109,4784,M,U,3,2,NA,F42,NA,8,no_group,0.20234038811322824,5,P,J,P_J,1,PM,JU,PM_JU,20,1,M_U,1,15
M1_U19,M1,U19,51,110,4785,M,U,3,2,NA,F38,NA,7,no_group,0.10310130826132854,2,P,J,P_J,1,PM,JU,PM_JU,20,1,M_U,1,18
M1_U20,M1,U20,51,112,4787,M,U,3,2,NA,F49,NA,1,no_group,0.23324291787999496,3,P,J,P_J,1,PM,JU,PM_JU,20,1,M_U,1,17
M2_M3,M2,M3,62,72,5440,M,M,3,3,NA,NA,NA,NA,no_group,0.22739587045333481,2,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,18
M2_M4,M2,M4,62,83,5451,M,M,3,3,NA,NA,NA,NA,no_group,0.21429229040118714,8,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,12
M2_M5,M2,M5,62,94,5462,M,M,3,3,NA,NA,NA,NA,no_group,0.1457571888991724,4,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,16
M2_M6,M2,M6,62,96,5464,M,M,3,3,NA,NA,NA,NA,no_group,0.19685056071386958,2,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,18
M2_M7,M2,M7,62,97,5465,M,M,3,3,NA,NA,NA,NA,no_group,0.1749167253171598,2,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,18
M2_M8,M2,M8,62,98,5466,M,M,3,3,NA,NA,NA,NA,no_group,0.2883325333487077,6,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,14
M2_M9,M2,M9,62,99,5467,M,M,3,3,NA,NA,NA,NA,no_group,0.25977588208711616,6,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,14
M10_M2,M10,M2,52,61,4804,M,M,3,3,NA,NA,NA,NA,no_group,0.20498302159327741,8,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,12
M11_M2,M11,M2,53,61,4871,M,M,4,3,NA,NA,NA,NA,no_group,0.2254299392767815,5,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,15
M12_M2,M12,M2,54,61,4937,M,M,4,3,NA,NA,NA,NA,no_group,0.18917491208115347,5,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,15
M13_M2,M13,M2,55,61,5002,M,M,4,3,NA,NA,NA,NA,no_group,0.16919177143085437,4,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,16
M14_M2,M14,M2,56,61,5066,M,M,4,3,NA,NA,NA,NA,no_group,0.2379551553497039,4,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,16
M15_M2,M15,M2,57,61,5129,M,M,4,3,NA,NA,NA,NA,no_group,0.16901727991027138,4,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,16
M16_M2,M16,M2,58,61,5191,M,M,4,3,NA,NA,NA,NA,no_group,0.2573629823018362,5,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,15
M17_M2,M17,M2,59,61,5252,M,M,4,3,NA,NA,NA,NA,no_group,0.22023461640234782,8,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,12
M18_M2,M18,M2,60,61,5312,M,M,4,3,NA,NA,NA,NA,no_group,0.30656357492701425,7,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,13
M19_M2,M19,M2,61,61,5371,M,M,4,3,NA,NA,NA,NA,no_group,0.2583390502531999,5,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,15
M2_M20,M2,M20,62,62,5430,M,M,3,4,NA,NA,NA,NA,no_group,0.2627948010682886,6,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,14
M2_M21,M2,M21,62,63,5431,M,M,3,5,NA,NA,NA,NA,no_group,0.17264915045821327,3,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,17
M2_M22,M2,M22,62,64,5432,M,M,3,5,NA,NA,NA,NA,no_group,0.1724593060432059,2,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,18
M2_M23,M2,M23,62,65,5433,M,M,3,5,NA,NA,NA,NA,no_group,0.2008607937913894,9,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,11
M2_M24,M2,M24,62,66,5434,M,M,3,5,NA,NA,NA,NA,no_group,0.11710698200253418,0,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,20
M2_M25,M2,M25,62,67,5435,M,M,3,5,NA,NA,NA,NA,no_group,0.16179871763958495,3,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,17
M2_M26,M2,M26,62,68,5436,M,M,3,5,NA,NA,NA,NA,no_group,0.21623916966001822,2,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,18
M2_M27,M2,M27,62,69,5437,M,M,3,5,NA,NA,NA,NA,no_group,0.2814462611857807,5,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,15
M2_M28,M2,M28,62,70,5438,M,M,3,5,NA,NA,NA,NA,no_group,0.26112512819232003,6,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,14
M2_M29,M2,M29,62,71,5439,M,M,3,5,NA,NA,NA,NA,no_group,0.20688603922852983,3,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,17
M2_M30,M2,M30,62,73,5441,M,M,3,5,NA,NA,NA,NA,no_group,0.10108757075220728,5,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,15
M2_M31,M2,M31,62,74,5442,M,M,3,6,NA,NA,NA,NA,no_group,0.24584961567457533,6,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,14
M2_M32,M2,M32,62,75,5443,M,M,3,6,NA,NA,NA,NA,no_group,0.20634875025201763,1,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,19
M2_M33,M2,M33,62,76,5444,M,M,3,6,NA,NA,NA,NA,no_group,0.1950883246031671,6,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,14
M2_M34,M2,M34,62,77,5445,M,M,3,6,NA,NA,NA,NA,no_group,0.275291277532829,5,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,15
M2_M35,M2,M35,62,78,5446,M,M,3,6,NA,NA,NA,NA,no_group,0.14870168141733092,4,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,16
M2_M36,M2,M36,62,79,5447,M,M,3,6,NA,NA,NA,NA,no_group,0.18236902939473015,2,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,18
M2_M37,M2,M37,62,80,5448,M,M,3,6,NA,NA,NA,NA,no_group,0.1628216776921755,0,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,20
M2_M38,M2,M38,62,81,5449,M,M,3,6,NA,NA,NA,NA,no_group,0.22126613145666887,4,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,16
M2_M39,M2,M39,62,82,5450,M,M,3,6,NA,NA,NA,NA,no_group,0.24704325124709156,5,P,A,A_P,3,PM,AM,AM_PM,11,1,M_M,0,15
